雨你无瓜,Date,DecryptedData
0,2019-01-01,
1,2019-01-02,
2,2019-01-03,
3,2019-01-04,
4,2019-01-05,
5,2019-01-06,
6,2019-01-07,
7,2019-01-08,
8,2019-01-09,
9,2019-01-10,
10,2019-01-11,
11,2019-01-12,
12,2019-01-13,
13,2019-01-14,
14,2019-01-15,
15,2019-01-16,
16,2019-01-17,
17,2019-01-18,
18,2019-01-19,
19,2019-01-20,
20,2019-01-21,
21,2019-01-22,
22,2019-01-23,
23,2019-01-24,
24,2019-01-25,
25,2019-01-26,
26,2019-01-27,
27,2019-01-28,
28,2019-01-29,
29,2019-01-30,
30,2019-01-31,
31,2019-02-01,
32,2019-02-02,
33,2019-02-03,
34,2019-02-04,
35,2019-02-05,
36,2019-02-06,
37,2019-02-07,
38,2019-02-08,
39,2019-02-09,
40,2019-02-10,
41,2019-02-11,
42,2019-02-12,
43,2019-02-13,
44,2019-02-14,
45,2019-02-15,
46,2019-02-16,
47,2019-02-17,
48,2019-02-18,
49,2019-02-19,
50,2019-02-20,
51,2019-02-21,
52,2019-02-22,
53,2019-02-23,
54,2019-02-24,
55,2019-02-25,
56,2019-02-26,
57,2019-02-27,
58,2019-02-28,
59,2019-03-01,
60,2019-03-02,
61,2019-03-03,
62,2019-03-04,
63,2019-03-05,
64,2019-03-06,
65,2019-03-07,
66,2019-03-08,
67,2019-03-09,
68,2019-03-10,
69,2019-03-11,
70,2019-03-12,
71,2019-03-13,
72,2019-03-14,
73,2019-03-15,
74,2019-03-16,
75,2019-03-17,
76,2019-03-18,
77,2019-03-19,
78,2019-03-20,
79,2019-03-21,
80,2019-03-22,
81,2019-03-23,
82,2019-03-24,
83,2019-03-25,
84,2019-03-26,
85,2019-03-27,
86,2019-03-28,
87,2019-03-29,
88,2019-03-30,
89,2019-03-31,
90,2019-04-01,
91,2019-04-02,
92,2019-04-03,
93,2019-04-04,
94,2019-04-05,
95,2019-04-06,
96,2019-04-07,
97,2019-04-08,
98,2019-04-09,
99,2019-04-10,
100,2019-04-11,
101,2019-04-12,
102,2019-04-13,
103,2019-04-14,
104,2019-04-15,
105,2019-04-16,
106,2019-04-17,
107,2019-04-18,
108,2019-04-19,
109,2019-04-20,
110,2019-04-21,
111,2019-04-22,
112,2019-04-23,
113,2019-04-24,
114,2019-04-25,
115,2019-04-26,
116,2019-04-27,
117,2019-04-28,
118,2019-04-29,
119,2019-04-30,
120,2019-05-01,
121,2019-05-02,
122,2019-05-03,
123,2019-05-04,
124,2019-05-05,
125,2019-05-06,
126,2019-05-07,
127,2019-05-08,
128,2019-05-09,
129,2019-05-10,
130,2019-05-11,
131,2019-05-12,
132,2019-05-13,
133,2019-05-14,
134,2019-05-15,
135,2019-05-16,
136,2019-05-17,
137,2019-05-18,
138,2019-05-19,
139,2019-05-20,
140,2019-05-21,
141,2019-05-22,
142,2019-05-23,
143,2019-05-24,
144,2019-05-25,
145,2019-05-26,
146,2019-05-27,
147,2019-05-28,
148,2019-05-29,8823
149,2019-05-30,6920
150,2019-05-31,4926
151,2019-06-01,5472
152,2019-06-02,4445
153,2019-06-03,3781
154,2019-06-04,2678
155,2019-06-05,2310
156,2019-06-06,2206
157,2019-06-07,5822
158,2019-06-08,1899
159,2019-06-09,1161
160,2019-06-10,1020
161,2019-06-11,992
162,2019-06-12,961
163,2019-06-13,979
164,2019-06-14,914
165,2019-06-15,918
166,2019-06-16,914
167,2019-06-17,807
168,2019-06-18,713
169,2019-06-19,718
170,2019-06-20,734
171,2019-06-21,652
172,2019-06-22,691
173,2019-06-23,640
174,2019-06-24,562
175,2019-06-25,668
176,2019-06-26,582
177,2019-06-27,591
178,2019-06-28,544
